row,column,valid,R,SNR,PI,SQI,SpO2_ref,SpO2_C,HR_bpm
11,S32,True,0.549601138,11.4206209,0.0123511814,193,87,84,66
12,S0,False,0.0988657996,12.0684328,0.00440558512,166,97,100,72
12,S1,True,0.147087157,10.491354,0.00415373873,141,96,100,72
12,S2,True,0.113604814,11.6634417,0.00494544674,188,96,100,72
12,S3,True,0.229275495,9.85691833,0.00242666597,83,98,96,78
12,S4,True,0.833393157,9.48285675,0.00580948312,167,97,77,42
12,S5,True,0.952008963,9.73878193,0.00459034182,145,97,75,30
12,S6,True,0.11215581,10.4067764,0.00331513118,104,94,100,84
12,S7,False,0.251550704,7.17611694,0.00421032729,107,95,95,78
12,S8,True,0.198830977,12.665061,0.0040719728,167,94,98,72
12,S9,False,1.14197528,10.4812794,0.00954220258,181,93,73,36
12,S10,False,0.482844114,8.83613777,0.0378883369,96,95,87,36
12,S11,False,0.369752258,6.87371016,0.00489481678,132,96,91,84
12,S12,False,0.406757623,8.98329544,0.00485312287,147,94,89,78
12,S13,True,0.307898074,12.0375233,0.00349209877,129,90,93,78
12,S14,False,0.303351372,7.04615307,0.00232288148,63,93,93,84
12,S15,True,0.26796484,10.480689,0.00429512421,152,89,95,66
12,S16,True,0.279368341,11.4775219,0.00502586132,184,88,94,84
12,S17,False,0.702500582,7.56184864,0.00374042313,85,88,80,30
12,S18,True,0.307571709,11.2470427,0.00610474311,188,91,93,84
12,S19,False,0.291583687,8.44368553,0.0057132286,143,89,94,78
12,S20,True,0.282677829,9.6193428,0.00383034162,113,86,94,90
12,S21,False,0.211311907,8.51837349,0.00367951114,106,88,97,84
12,S22,True,0.424249709,10.735673,0.00557080796,184,83,89,84
12,S23,True,0.35269624,11.6770792,0.00713318214,190,86,91,78
12,S24,True,0.475931883,12.4807358,0.00697253831,197,86,87,90
12,S25,False,0.583966613,7.93744278,0.00818087999,142,85,83,90
12,S26,True,0.582298636,11.1025429,0.00722988602,180,80,83,84
12,S27,True,0.515034258,11.2337027,0.0065581887,184,79,85,84
12,S28,True,0.57303077,11.4733706,0.00733586634,179,80,84,84
13,S0,True,0.193378568,12.9226532,0.0060074958,196,97,98,66
13,S1,True,0.168016762,11.4215794,0.00658165105,192,97,99,60
13,S2,True,0.580502808,10.942564,0.0207241271,189,97,83,60
13,S3,True,0.227229133,10.8853827,0.00505194627,186,97,96,60
13,S4,True,0.267267853,10.7329664,0.00854382291,179,97,95,60
13,S5,True,0.448452085,10.5753565,0.0110606281,182,96,88,72
13,S6,True,0.251114458,11.6983261,0.0087093804,197,95,95,54
13,S7,True,0.216876328,10.7635422,0.00952450465,187,96,97,54
13,S8,True,0.402137369,11.24193,0.0360321999,133,96,89,54
13,S9,True,0.215418711,10.6820927,0.00896860845,181,95,97,60
13,S10,True,0.329638839,9.04182053,0.0165541824,156,96,92,72
13,S11,True,0.368412793,9.83112335,0.0198603179,164,96,91,72
13,S12,True,0.367341459,10.1649942,0.02628107,148,96,91,66
13,S13,True,0.198428974,9.97781754,0.0131339021,170,95,98,66
13,S14,True,0.315589428,9.56903458,0.0220412295,168,95,93,60
13,S15,False,18.0910244,11.1100159,0.0157955233,187,96,100,60
13,S16,True,0.324960321,10.9939785,0.0473193452,113,96,92,54
13,S17,True,0.286529034,10.7048616,0.0177107584,185,94,94,54
13,S18,True,0.23111555,10.2485714,0.0156605653,180,96,96,54
13,S19,True,0.346517622,11.1906996,0.0336516313,144,96,92,60
13,S20,True,0.999994993,11.7529535,0.0250948034,166,91,74,66
13,S21,True,0.244754836,11.5943851,0.0247973539,178,96,96,54
13,S22,False,0.229297951,8.79786587,0.0215437431,155,96,96,72
13,S23,True,0.308249831,9.04600334,0.0259323921,131,96,93,72
13,S24,False,0.267698705,8.62383366,0.0219762269,141,93,95,54
13,S25,True,0.293729484,9.81881523,0.0398036279,97,93,94,60
13,S26,True,0.263529986,13.1946049,0.0363002606,149,93,95,54
13,S27,True,0.331887245,10.8409367,0.0245137606,167,91,92,60
13,S28,True,0.391897708,9.6945858,0.0330859609,117,90,90,66
13,S29,True,0.399527341,11.1801109,0.066515781,116,90,89,48
13,S30,True,0.453970343,12.6756248,0.0346473232,147,86,88,60
13,S31,True,0.479149491,9.00431442,0.0300741978,127,86,87,66
