row,column,valid,R,SNR,PI,SQI,SpO2_ref,SpO2_C,HR_bpm
0,S0,False,0.419285655,7.92096806,0.0524199046,77,92,98,78
0,S1,False,0.419285655,7.92096806,0.0524199046,77,92,98,78
